,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,group_id_anonymized,lang,message_text,phone_num_anonymized,timestamp,translated
13,13,13,13,24.0,24.0,2763,hi,*चमार सामाज* की 👨‍👩‍👧‍👦 टीम ने *3 महीने* की 💪 *मेहनत* कर भारत के समस्त राज्यों से *चमार*  जनसँख्या जानने की कोशिश की है जिसके अनुसार सूची तयार हुई हे। उम्मीद हे *चमार* अपनी शक्ति पहचाने :  1) जम्मू कश्मीर : *1करोड़  चमार*  2) पंजाब : *3 करोड़ चमार* 3) हरयाणा : *2 करोड़ चमार* 4) राजस्थान : *4.5 करोड़ चमार* 5) गुजरात : *4 करोड़ चमार* 6) महाराष्ट्र : *5 करोड़ चमार* 7) गोवा : *80 लाख चमार* 8) कर्णाटक : *2 करोड़ चमार* 9) केरल : *1.5  करोड चमार* 10) तमिलनाडु : *2 करोड़ चमार* 11) आँध्रप्रदेश : *5 करोड़ चमार* 12) छत्तीसगढ़ : *4 करोड़ चमार* 13) उड़ीसा : *5 करोड़ जाटव* 14) झारखण्ड : *6 करोड़ चमार* 15) बिहार : *7 करोड़ जाटव* 16) पश्चिम बंगाल : *8 करोड़ चमार* 17) मध्य प्रदेश : *3 करोड़ चमार* 18) उत्तर प्रदेश : *9 करोड़ चमार* 19) उत्तराखंड : *1 करोड़ चमार* 20) हिमाचल : *90 लाख चमार* 21) सिक्किम : *25 लाख चमार* 22) आसाम : *40 लाख चमार* 23) मिजोरम : *60 लाख चमार* 24) अरुणाचल : *30 लाख चमार* 25) नागालैंड : *20लाख चमार* 26) मणिपुर : *32 लाख चमार* 27) मेघालय : *39 लाख चमार* 28) त्रिपुरा : *20 लाख चमार*     सबसे ज्यादा  *चमार* वाला राज्य: उत्तर प्रदेश   *सबसे ज्यादा बुरी बात ये है कि इतनी आबादी होने के बाबजूद भी 70 साल की देश की आजादी में एक भी दलित प्रधान मंत्री नही बना और 70 सालो में सिर्फ एक मुख्यमंत्री बहन कुमारी मायावती बनी है बस इस बार 2019 के चुनाव में विचार करो और अपना एक दलित प्रधान मंत्री बनाओ*   इस संदेश को इतना फैलाओ कि हर *चमार* के मोबाईल मे पहुँचे ...   यदि *चमार* हो तो शेयर करो वर्ना इग्नोर तो दुसरी प्रजातियाँ भी कर देगी ...!!,86829,1549560170000,"The team of * Chamar 👧 👦   👩  👨  Samaj * has 💪  tried to know the population of * Chamars * from all the states of India by working * hard * for * 3 months * according to which the list has been finalized. Hope * * Chamars * Recognize your power: 1) Jammu Kashmir: * 1 crore Chamars * 2) Punjab: * 3 crore Chamars * 3) Haryana: * 2 crore Chamars * 4) Rajasthan: * 4.5 crore Chamars * 5) Gujarat: * 4 crore Chamars * 6) Maharashtra: * 5 crore Chamars * 7) Goa: * 80 lakh Chamars * 8) Karnataka: * 2 crore Chamars * 9) Kerala: * 1.5 crore Chamars * 10) Tamil Nadu: * 2 crore Chamars * 11 ) Andhra Pradesh: * 5 crore Chamars * 12) Chhattisgarh: * 4 crore Chamars * 13) Orissa: * 5 crore Jatav * 14) Jharkhand: * 6 crore Chamars * 15) Bihar: * 7 crore Jatav * 16) West Bengal: * 8 Crores Chamars * 17) Madhya Pradesh: * 3 Crores Chamars * 18) Uttar Pradesh: * 9 Crores Chamars * 19) Uttarakhand: * 1 Crores Chamars * 20) Himachal: * 90 Lakhs Chamars * 21) Sikkim: * 25 Lakhs Chamars * 22) Assam: * 40 lakhs Chamars * 23) Mizoram: * 60 lakhs Chamars * 24) Arunachal: * 30 lakhs Chamars * 25) Nagaland: * 20 lakhs Chamars * 26) Manipur: * 32 lakhs Chamars * 27) Meghalaya: * 39 Lakh Chamar * 28) Tripura: * 20 Lakh Chamar * State with the highest * Chamar *: Uttar Pradesh * The worst thing is that despite being so populated, even 70 years Not a single Dalit became Prime Minister in the independence of the country and in 70 years only one Chief Minister Sister Kumari Mayawati has been formed. Just think this time in the 2019 elections and make yourself a Dalit Prime Minister * spread this message so much that every * chamar Arrived in the mobile of *… If * Chamar * is shared, otherwise Ignor will do other species… !!  "
14,14,14,14,26.0,26.0,4957,ml,"ശബരിമലയിൽ 2007 ൽ യുവതി പ്രവേശിച്ചതിൻ്റെ ചിത്രവും വാർത്തയുമാണ് മുകളിൽ കൊടുത്തതു് തമിഴ്നാട് സ്വദേശിനി സെൽവി 35 വയസ് - ആണ് പതിനെട്ടാം പടികയറി പ്രർത്ഥനയും നെയ്യഭിഷേകവും കഴിഞ്ഞു് പുറത്തിറങ്ങിയത് 'കണ്ട ചിലർ ബഹളമുണ്ടാക്കി' കാരണം ഹൈക്കോടതിയുവതീ പ്രവേശനം തടഞ്ഞ കാലഘട്ടത്തിലായിരുന്നു ഇത് സംഭവിച്ചത്.എന്നിട്ടു പോലും നിയമസഭ സ്ഥo ഭി ച്ചില്ല.ജനങ്ങൾ തെരുവിലിറങ്ങിയില്ല.നാമജ ഭഘോഷയാത്ര നടന്നില്ല. ആത്മഹത്യ നടന്നില്ല, ബസ്സിന് കല്ലെറിഞ്ഞാല്ല,മിന്നൽ ഹർത്താൽ നടന്നില്ല.കുറേ ചെറുപ്പക്കാർ ജയിലിൽ പോകേണ്ടി വന്നില്ല. ചാനലിൽ ഒരു ദിവസം പോലും ചർച്ച നടന്നില്ല സംഘപരിവാർ കണ്ട ഭാവം നടിച്ചില്ല. ആരും കോടതിയിൽ പോയില്ല. കാരണം? അന്നു് പ്രളയം ഉണ്ടായില്ല.  ഇന്ന് പ്രളയം ഉണ്ടായി. അതിനെ സധൈര്യം നേരിട്ട - ലോക ശ്രദ്ധ ആകർഷിച്ച ഒരു ഭരണാധികാരിനമുക്കുണ്ടായി. അത് സമ്മദിക്കാൻ പ്രതിപക്ഷം തയ്യാറല്ല. കാരണം ലോകസഭ തിരഞ്ഞെടുപ്പാണ് വരുന്നത് 'അതിനെ നേരിടാൻ കേരളത്തെ കുട്ടിച്ചോറാക്കിയാൽ മാത്രമേ പ്രതി പക്ഷത്തിന്നു് കേരളത്തിൽ പിടിച്ചു നില്ക്കാനാവൂ. അശോകൻ ചേമഞ്ചേരി 9142405813",136989,1549560259000,"Sabarimala above the age of 35 and gave him a native of Tamil Selvam in 2007, she pravesiccatinre picture varttayuman - is released in the eighteenth patikayari prart'thanayum neyyabhisekavum Once you 've seen some of the noise,' because of the time that it blocked access to the haikkeatatiyuvati sambhaviccat.ennittu of the Assembly, even if P o olds ccilla.janannal teruviliranniyilla.namaja bhagheasayat Walked. There was no suicide, the bus was not stoned, there was no lightning hartal. A few young people did not have to go to jail. There was no discussion in the channel for a day. No one went to court. the reason? There was no flood that day. There was a flood today. It faced a dictator who drew the attention of the world - courageously. The opposition is not willing to accept it. This is because the Lok Sabha elections are coming up. Ashokan Chemancherry 9142405813  "
15,15,15,15,27.0,27.0,5074,hi,नाम - नरेंद्र मोदी  मुख्यमंत्री - 12 वर्ष प्रधानमंत्री - 4.5 वर्ष छुट्टी ली - 0 घोटाले - 0 घर - 900 Sqft गाँधीनगर  कब खरीदा - 2001 कितने मे - 1 लाख जायदाद - कोई नही बेंक बॅलेन्स - 11 लाख  FD - 1.15 करोड़ NSC - 5 लाख परिवार को फायदा - कभी नही  गंभीर आरोप - अच्छे कपड़े पहनता हे 🤣😉,189080,1549560263000,Name - Narendra Modi Chief Minister - 12 years Prime Minister - 4.5 years took leave - 0 Scam - 0 Home - 900 Sqft When bought Gandhinagar - 2001 in how much - 1 lakh properties - None Bank Balance - 11 lakh FD - 1.15 Crore NSC - 5 Lakh Benefit to the family - Never serious charges 😉  🤣  - Wears good clothes.  
16,16,16,16,28.0,28.0,4957,ml,മാറ്റപ്പെടാത്തതും മാറ്റാൻ കഴിയാത്തതുമായ വിശ്വാസത്തെയാണ് അന്ധവിശ്വാസം എന്ന വാക്കു കൊണ്ടർത്ഥമാക്കുന്നത്.,136989,1549560267000,The word superstition means faith that cannot be changed and cannot be changed.  
17,17,17,17,30.0,30.0,3275,te,"కుప్పంకి నీళ్లు ఇవ్వలేనోడు పోలవరం కడతాడంట.  14 సంవత్సరాల సీఎంగా ఉన్న చంద్రబాబు నియోజకవర్గంలో నీటి సమస్య అంటే ఇంతకంటే చేతగాని తనం ఏదైనా ఉందా..  కుప్పంకి నీటి సమస్య తీరాలంటే వైస్సార్ కొడుకు జగన్ రావాలి. జయహో జగన్,.. జోహార్ వైఎస్సార్ #APNeedsJagan #RavaliJaganKavaliJagan",43012,1549560273000,"Can not give water to the kuppam. Chandrababu constituency in the 14-year-old CM constituency of water is a problem. Jayaho pics, .. Johar YSSAR #APNeedsJagan #RavaliJaganKavaliJagan  "
18,18,18,18,31.0,31.0,800,hi,बहुत सुंदर विड़ीयो है  जरूर देखें 🙏🙏,124967,1549560296000,Must see very beautiful videos.   🙏 🙏  
19,19,19,19,32.0,32.0,577,hi,"*सूक्ष्म, लघु एवं मध्यम उद्योग*  एक जनपद एक उत्पाद योजना हेतु 250 करोड़ रुपये की व्यवस्था।  प्रदेश में युवाओं को स्वरोजगार से जोड़ने हेतु मुख्यमंत्री युवा स्वरोजगार योजना हेतु 100 करोड़ रुपये की बजट व्यवस्था।  प्रदेश के परंपरागत कारीगरों यथा बढ़ई, दर्जी, टोकरी बुनकर, सुनार, लोहार, कुम्हार, हलवाई, नाई, मोची, राजमिस्त्री के उत्थान के लिए विश्वकर्मा श्रम सम्मान योजना प्रारम्भ की गई है जिसके लिये 30 करोड़ रुपये की व्यवस्था प्रस्तावित।  सूक्ष्म, लघु एवं मध्यम उद्यम प्रोत्साहन नीति-2017 के क्रियान्वयन हेतु 10 करोड़ रुपये की बजट व्यवस्था।",178320,1549560307000,"* Micro, Small and Medium Industries * Provision of Rs 250 crore for one district one product scheme. A budget of Rs 100 crore for the Mukhyamantri Yuva Swarozgar Yojana to connect youth with self-employment in the state. Vishwakarma Shram Samman Yojana has been started for the upliftment of traditional artisans like carpenters, tailors, basket weavers, goldsmiths, blacksmiths, potters, halwai, barber, cobblers, masons, for which a provision of Rs. 30 crore has been proposed. Budget provision of Rs 10 crore for the implementation of Micro, Small and Medium Enterprises Promotion Policy-2017.  "
20,20,20,20,34.0,34.0,4957,ml,മാറ്റപ്പെടാത്തതായി ഒന്നുമില്ല..  അതിന് വിശ്വാസികൾ താൽപര്യപ്പെടണം..  യുക്തിവാദികൾ താൽപര്യപ്പെടുന്നതിൽ അർത്ഥമില്ല..,166842,1549560445000,There is nothing unchanging. It has to do with believers.  
21,21,21,21,35.0,35.0,548,hi,"माता सोनिया गांधी जी व भ्राता राहुल जी के खासमखास मनमोहनजी के कार्यकाल में भारत एक समृद्ध और खुशहाल देश हुआ करता था।  👉🏽किसानों को अपनी उपज के बराबर सोना तोलकर दिया जाता था।  👉🏽सरकार युवाओं को बुला बुला कर रोजगार देती थी, कई बार तो रोजगार इतने ज्यादा पैदा हो जाते थे कि विदेश से लोग बुलाने पड़ते थे। जैसे बंगलादेश इत्यादि और कई बार तो पाकिस्तान से भी कूद फांद कर लोग आ जाया करते थे।  👉🏽महिलाओं की सुरक्षा हेतु समाजसेवी श्री महिपाल मदेरणा ने भँवरी देवी महिला विकास योजना चलाई थी।  👉🏽हर गाँव को 24 घंटे मुफ़्त बिजली और पानी मिलता था।  👉🏽शराब तम्बाकू गुटखे पर पूर्णतः पाबन्दी थी।  👉🏽भारत में रेगिस्तान की जगह बेहद घने वर्षावन उगा दिये गये थे।  👉🏽महंगाई का तो नामोनिशान नही था।  👉🏽भ्रस्टाचार के बारे में तो सोचना ही गुनाह था। क्वात्रोची बेशक उनके गांव का था पर एक बार गया तो फिर देश मे घुसने भी नही दिया।  👉🏽बिजली पैदा करने के लिए कोयला खदान फ्री में दे दी जाती थी ताकि गरीब जनता को बिजली मिल सके।  👉🏽सबको फ्री में बात करने का मौका मिले इसलिए 2G स्पेक्ट्रम फ्री में दे दिए।  👉🏽विश्व की अर्थ व्यवस्था के कल्याण के लिए देश के अमीरों को स्विस बैंक में खाते खोलने को प्रोत्साहन भी दिया जाता था।  👉🏽नई चिकित्सा पद्धति समझने के लिए अमेरिका जैसे देशों में जॉकर उपचार करवाया जाता था।  👉🏽देश के बाहर बैठे मित्रों  की सेवा लेकर उनके सम्बन्धों से सस्ते हथियार खरीदकर देश की रक्षा मजबूत की जाती थी।  👉🏽देश के बाहर के टूरिज्म का हाल जानने के लिए परिवार सहित छुट्टियों के अवसर पर कई देशों के दौरे किये जाते ताकि वैसा ही टूरिज्म देश मे पैदा कर सकें।  👉🏽टैक्स बिलकुल नहीं था।  👉🏽सड़कों पर एक भी गड्ढा नहीं हुआ करता था।  👉🏽अपराध बिल्कुल नहीं होने से सभी थानों और जेलों को बन्द कर दिया गया था।ये तो मो��",120608,1549560448000,"India used to be a prosperous and prosperous country during the tenure of Manmohanji, the mother of Sonia Gandhi and brother 👉  Rahul Gandhi. The farmers were weighed gold equal 👉  to their yield. The government used to call the youth and give them employment, many times jobs were created so much that people had to call from abroad. Like Bangladesh etc. and many times people used to 👉  come and jump from Pakistan. Bhanwari Devi Mahila Vikas Yojana was run by social worker Shri 👉  Mahipal Maderna to protect women. Every village 👉  had 24 hours of free electricity and water. 👉  The alcohol tobacco was completely banned on gutkha. बेहद 👉  Extremely dense rainforests were 👉  grown in place of deserts in India. Amhangai was not known. It was a crime to think about corruption. Quattrocchi undoubtedly 👉  belonged to his village but once visited, he did not even allow to enter the country. 👉  To generate electricity, coal mines were given free of cost so that poor 👉  people could get electricity. All got a chance to talk in free, so gave 2G spectrum for free. The rich of the country 👉  were also encouraged to open accounts in Swiss bank for the welfare of the world 👉  economy. Joker treatment was done in countries like America to understand new medical practice. The defense 👉  of the country was strengthened by purchasing cheap weapons from their relations by taking service of friends sitting outside the country. To 👉  know the condition of 👉  tourism outside the country, many countries 👉  are visited on holidays on the occasion of the family, so that tourism can be produced in the country. The tax was not there at all. There was not a single pit on the roads. All the police stations and jails were closed due to no offense at all.  "
22,22,22,22,37.0,37.0,577,hi,"*हथकरघा एवं वस्त्रोद्योग*   पॉवरलूम बुनकरों को रियायती दर पर बिजली उपलब्ध कराये जाने हेतु 150 करोड़ रुपये की बजट व्यवस्था।  उत्तर प्रदेश हैण्डलूम, पावरलूम, सिल्क, टेक्सटाइल्स एण्ड गारमेन्टिंग पाॅलिसी, 2017 हेतु 50 करोड़ रुपये की बजट व्यवस्था।",178320,1549560507000,"* Handloom and textile industries * Budget provision of Rs. 150 crores to provide power at a discounted rate to powerloom weavers. Budget provision of Rs 50 crore for Uttar Pradesh Handloom, Powerloom, Silk, Textiles and Garment Policy, 2017.  "
23,23,23,23,38.0,38.0,4423,en,OMG!! *Have you seen this?* xxux.xxvxc.com,188791,1549560562000,OMG!! *Have you seen this?* xxux.xxvxc.com
24,24,24,24,40.0,40.0,577,hi,"*चिकित्सा एवं स्वास्थ्य*     'आयुष्मान भारत-नेशनल हेल्थ प्रोटेक्शन मिशन' योजना हेतु 1,298 करोड़ रुपये की व्यवस्था प्रस्तावित।  प्रधानमंत्री मातृ वंदना योजना हेतु 291 करोड़ रुपये की व्यवस्था।  आयुष्मान भारत-नेशनल हेल्थ प्रोटेक्शन मिशन योजना की सुविधा से वंचित पात्र लाभार्थियों के लिये राज्य सरकार द्वारा अपने संसाधनों से मुख्यमंत्री जन आरोग्य अभियान से आच्छादित करने हेतु 111 करोड़ रुपये की व्यवस्था।  प्रदेश़ के जनपदों में 100 शैय्यायुक्त चिकित्सालयों की स्थापना हेतु 47 करोड़ 50 लाख रुपये की व्यवस्था।",178320,1549560601000,"* Medical and Health * A provision of Rs. 1,298 crore proposed for the 'Ayushman Bharat-National Health Protection Mission' scheme. A provision of Rs. 291 crore for the Pradhan Mantri Matru Vandana Yojana. A provision of Rs. 111 crore for the eligible beneficiaries deprived of the facility of Ayushman Bharat-National Health Protection Mission Scheme by the state government to cover the Chief Minister's Jan Arogya Abhiyan with their own resources. Provision of Rs 47 crore 50 lakh for the establishment of 100 bedded hospitals in the districts of the state.  "
25,25,25,25,41.0,41.0,2709,mr,*मा.श्री.रमेशअप्पा कराड साहेब यांनी मौजे भादा ता.औसा येथील श्री सतीश कात्रे यांच्या घरी भेट दिली यावेळी.....*,158085,1549560609000,* Mr. Rameshappa Karad Saheb visited the house of Mr. Satish Katre at Mauja Bheda Ta.  
26,26,26,26,43.0,43.0,4957,ml,അപ്പോൾ 12/11/1972 നു മുമ്പുവരെ ശബരിമലയിൽ   യുവതികൾ കയറിയിരുന്നു.   മറ്റൊരു സംശയം. ഇൗ ഉത്തരവിൽ പറയുന്നത്  മുതൽ 55 വയസ്സുവരെ യുള്ള എന്നാണല്ലോ പറയുന്നത്. എങ്ങനെ ഇപ്പൊൾ 50 വയസ്സുവരെ എന്നായി?,166939,1549560684000,"Until 12/11/1972, the girls had climbed Sabarimala. Another doubt. In this order, it is said that you are 55 years old. How about 50 years old now?  "
27,27,27,27,44.0,44.0,2729,te,గత ఎన్నికలు దృష్టిలో పెట్టుకొని..... ఈసారి పిఠాపురం టికెట్ స్థానికుడు ఇచ్చే వ్యూహంలో జగన్ మోహన్ రెడ్డి గారు మరియు వైఎస్సార్సీపీ సెలక్షన్ కమిటీ బృందం.......,41677,1549560725000,Considering the past elections ..... this time Jagan Mohan Reddy and the team of YSSRCP Selection Committee on the strategy of ticketing the Pithampuram ticket.  
28,28,28,28,45.0,45.0,2018,en,Attention! Attention!! My name is Kondogbia L Sports lovers: to all sports lovers. Are you tired of  loosing all your money in fake betting site and in the hands of scammers. Have no fear at all;here is the solution you've been looking for. I once loosed my school fee for betting even my rent and many others. Until a friend of mine  introduced me to this UK betting telegram platform 👇👇👇👇👇👇 https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA 👇👇👇👇👇  that change my life and today I have my own house and a personal car while I'm still a student. this is revealed by a man named Goldfixed  from UK. He is among the football organizing body in UK. He is giving out strict and accurate fixed matches to people all over the world. Success will certainly be your story if you follow my lead. Click on the link below to chat him   👇👇👇👇👇👇 https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA,3863,1549560745000,Attention! Attention!! My name is Kondogbia L Sports lovers: to all sports lovers. Are you tired of  loosing all your money in fake betting site and in the hands of scammers. Have no fear at all;here is the solution you've been looking for. I once loosed my school fee for betting even my rent and many others. Until a friend of mine  introduced me to this UK betting telegram platform 👇👇👇👇👇👇 https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA 👇👇👇👇👇  that change my life and today I have my own house and a personal car while I'm still a student. this is revealed by a man named Goldfixed  from UK. He is among the football organizing body in UK. He is giving out strict and accurate fixed matches to people all over the world. Success will certainly be your story if you follow my lead. Click on the link below to chat him   👇👇👇👇👇👇 https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA https://t.me/joinchat/AAAAAFMX2em4nbS9oszifA
